time	V(out)	V(outr)
5.117550000000495e-03	6.900972e-01	6.948090e-01
5.132164285714821e-03	6.899913e-01	6.947163e-01
5.146778571429146e-03	6.898690e-01	6.946073e-01
5.161392857143472e-03	6.897303e-01	6.944820e-01
5.176007142857797e-03	6.895752e-01	6.943404e-01
5.190621428572123e-03	6.894038e-01	6.941825e-01
5.205235714286448e-03	6.892159e-01	6.940083e-01
5.219850000000774e-03	6.890116e-01	6.938177e-01
5.219950000000775e-03	6.890101e-01	6.938164e-01
5.234564285715101e-03	6.887896e-01	6.936097e-01
5.249178571429426e-03	6.885535e-01	6.933873e-01
5.263792857143752e-03	6.883019e-01	6.931494e-01
5.278407142858078e-03	6.880347e-01	6.928960e-01
5.293021428572403e-03	6.877519e-01	6.926269e-01
5.307635714286729e-03	6.874536e-01	6.923423e-01
5.322250000001054e-03	6.871397e-01	6.920421e-01
5.322350000001055e-03	6.871375e-01	6.920400e-01
5.336964285715381e-03	6.868085e-01	6.917245e-01
5.351578571429706e-03	6.864652e-01	6.913947e-01
5.366192857144032e-03	6.861078e-01	6.910505e-01
5.380807142858358e-03	6.857362e-01	6.906921e-01
5.395421428572683e-03	6.853504e-01	6.903193e-01
5.410035714287009e-03	6.849505e-01	6.899321e-01
5.424650000001334e-03	6.845365e-01	6.895307e-01
5.424750000001335e-03	6.845336e-01	6.895279e-01
5.439364285715661e-03	6.841059e-01	6.891126e-01
5.453978571429986e-03	6.836663e-01	6.886848e-01
5.468592857144312e-03	6.832145e-01	6.882447e-01
5.483207142858638e-03	6.827508e-01	6.877922e-01
5.497821428572964e-03	6.822750e-01	6.873272e-01
5.512435714287289e-03	6.817872e-01	6.868499e-01
5.527050000001615e-03	6.812873e-01	6.863601e-01
5.527150000001615e-03	6.812839e-01	6.863567e-01
5.541764285715941e-03	6.807730e-01	6.858554e-01
5.556378571430266e-03	6.802531e-01	6.853445e-01
5.570992857144592e-03	6.797244e-01	6.848241e-01
5.585607142858918e-03	6.791868e-01	6.842941e-01
5.600221428573244e-03	6.786403e-01	6.837546e-01
5.614835714287569e-03	6.780848e-01	6.832055e-01
5.629450000001895e-03	6.775205e-01	6.826468e-01
5.629550000001895e-03	6.775166e-01	6.826429e-01
5.639921428573352e-03	6.771122e-01	6.822420e-01
5.650292857144809e-03	6.767052e-01	6.818380e-01
5.660664285716266e-03	6.762955e-01	6.814309e-01
5.671035714287722e-03	6.758832e-01	6.810206e-01
5.681407142859180e-03	6.754683e-01	6.806073e-01
5.691778571430636e-03	6.750508e-01	6.801909e-01
5.702150000002093e-03	6.746307e-01	6.797713e-01
5.706392857144962e-03	6.744585e-01	6.795992e-01
5.710635714287831e-03	6.742862e-01	6.794268e-01
5.714878571430699e-03	6.741136e-01	6.792541e-01
5.719121428573569e-03	6.739408e-01	6.790810e-01
5.723364285716437e-03	6.737678e-01	6.789077e-01
5.727607142859306e-03	6.735946e-01	6.787340e-01
5.731850000002175e-03	6.734211e-01	6.785600e-01
5.731950000002175e-03	6.734170e-01	6.785560e-01
5.737835714287905e-03	6.731761e-01	6.783141e-01
5.743721428573636e-03	6.729352e-01	6.780720e-01
5.749607142859366e-03	6.726942e-01	6.778297e-01
5.755492857145096e-03	6.724531e-01	6.775870e-01
